% mention
@RELATION men

@ATTRIBUTE gn {MASC, FEM}
@ATTRIBUTE gn1 {MASC, FEM}
@ATTRIBUTE num1 {SING, PLUR}
@ATTRIBUTE num {SING, PLUR}
@ATTRIBUTE en {PERS, LOC, ORG, FUNC}
@ATTRIBUTE en1 {PERS, LOC, ORG, FUNC}
@ATTRIBUTE gp {CASE=YES, CASE=NO}
@ATTRIBUTE gp1 {CASE=YES, CASE=NO}
@ATTRIBUTE id_form {YES, NO}
@ATTRIBUTE subform {YES, NO}
@ATTRIBUTE inc_rate REAL
@ATTRIBUTE dis_men REAL
@ATTRIBUTE dis_phrase REAL
@ATTRIBUTE dis_char REAL
@ATTRIBUTE sys_tag {PR, N}
@ATTRIBUTE sys_tag1 {PR, N}

@DATA
FEM,FEM,?,?,PLUR,PLUR,CASE=YES,CASE=YES,YES,YES,100,0,0,0,N,N
MASC,FEM,?,?,SING,PLUR,?,CASE=YES,NO,NO,48,-1,4,-17,N,PR
MASC,FEM,?,?,SING,PLUR,CASE=YES,CASE=YES,NO,NO,45,-2,2,-91,N,N
FEM,FEM,PERS,?,SING,PLUR,?,CASE=YES,NO,NO,57,-3,3,-135,N,N
MASC,FEM,FUNC,?,SING,PLUR,?,CASE=YES,NO,NO,54,-4,3,-157,N,N
MASC,FEM,?,?,SING,PLUR,CASE=YES,CASE=YES,NO,NO,54,-5,3,-188,N,N
?,FEM,PERS,?,PLUR,PLUR,?,CASE=YES,NO,NO,56,-6,3,-209,N,N
MASC,FEM,?,?,SING,PLUR,?,CASE=YES,NO,NO,56,-7,3,-247,N,N
MASC,FEM,FUNC,?,SING,PLUR,?,CASE=YES,NO,NO,42,-8,0,62,N,N
MASC,FEM,?,?,SING,PLUR,?,CASE=YES,NO,NO,54,-9,4,-275,N,N
MASC,FEM,?,?,PLUR,PLUR,?,CASE=YES,NO,NO,62,-10,4,-294,N,N
FEM,FEM,?,?,PLUR,PLUR,?,CASE=YES,NO,NO,64,-11,4,-318,N,N
MASC,FEM,?,?,SING,PLUR,?,CASE=YES,NO,NO,53,-12,4,-363,N,PR
?,FEM,?,?,SING,PLUR,?,CASE=YES,NO,NO,57,-13,4,-369,N,PR
MASC,FEM,?,?,SING,PLUR,?,CASE=YES,NO,NO,48,-14,0,62,N,N
FEM,FEM,?,?,SING,PLUR,?,CASE=YES,NO,NO,56,-15,4,-408,N,N
MASC,FEM,?,?,SING,PLUR,?,CASE=YES,NO,NO,47,-16,5,-427,N,PR
MASC,FEM,?,?,SING,PLUR,?,CASE=YES,NO,NO,59,-17,5,-445,N,N
FEM,FEM,?,?,SING,PLUR,?,CASE=YES,NO,NO,50,-18,0,62,N,N
FEM,FEM,?,?,PLUR,PLUR,CASE=YES,CASE=YES,NO,NO,68,-19,0,62,N,N
FEM,FEM,?,?,PLUR,PLUR,?,CASE=YES,NO,NO,63,-20,5,-540,N,N
?,FEM,?,?,?,PLUR,?,CASE=YES,NO,NO,51,-21,5,-556,N,PR
MASC,FEM,?,?,SING,PLUR,?,CASE=YES,NO,NO,57,-22,5,-563,N,PR
MASC,FEM,?,?,PLUR,PLUR,?,CASE=YES,NO,NO,58,-23,6,-598,N,N
MASC,FEM,?,?,PLUR,PLUR,?,CASE=YES,NO,NO,56,-24,6,-658,N,N
MASC,FEM,?,?,SING,PLUR,?,CASE=YES,NO,NO,53,-25,6,-674,N,PR
?,FEM,?,?,?,PLUR,?,CASE=YES,NO,NO,56,-26,7,-685,N,PR
?,FEM,?,?,?,PLUR,?,CASE=YES,NO,NO,53,-27,0,62,N,PR
?,FEM,?,?,?,PLUR,?,CASE=YES,NO,NO,35,-28,0,62,N,N
?,FEM,?,?,?,PLUR,?,CASE=YES,NO,NO,42,-29,0,62,N,N
FEM,FEM,?,?,PLUR,PLUR,CASE=YES,CASE=YES,NO,NO,52,-30,0,62,N,N
FEM,FEM,?,?,SING,PLUR,?,CASE=YES,NO,NO,55,-31,0,62,N,N
MASC,FEM,?,?,SING,PLUR,?,CASE=YES,NO,NO,64,-32,0,62,N,N
?,FEM,?,?,SING,PLUR,?,CASE=YES,NO,NO,47,-33,0,62,N,PR
MASC,FEM,?,?,SING,PLUR,?,CASE=YES,NO,NO,53,-34,0,62,N,PR
?,FEM,?,?,SING,PLUR,?,CASE=YES,NO,NO,53,-35,0,62,N,PR
MASC,FEM,?,?,SING,PLUR,?,CASE=YES,NO,NO,53,-36,0,62,N,PR
?,FEM,?,?,SING,PLUR,?,CASE=YES,NO,NO,53,-37,0,62,N,PR
MASC,FEM,?,?,PLUR,PLUR,CASE=YES,CASE=YES,NO,NO,76,-38,0,62,N,N
MASC,FEM,?,?,SING,PLUR,?,CASE=YES,NO,NO,51,-39,0,62,N,PR
MASC,FEM,?,?,SING,PLUR,?,CASE=YES,NO,NO,53,-40,0,62,N,PR
MASC,FEM,?,?,SING,PLUR,?,CASE=YES,NO,NO,40,-41,0,62,N,PR
MASC,FEM,?,?,SING,PLUR,?,CASE=YES,NO,NO,53,-42,0,62,N,PR
MASC,FEM,?,?,SING,PLUR,?,CASE=YES,NO,NO,48,-43,0,62,N,N
MASC,FEM,?,?,SING,PLUR,?,CASE=YES,NO,NO,48,-44,0,62,N,N
FEM,FEM,?,?,SING,PLUR,?,CASE=YES,NO,NO,56,-45,0,62,N,N
MASC,FEM,?,?,SING,PLUR,?,CASE=YES,NO,NO,53,-46,0,62,N,PR
FEM,FEM,?,?,SING,PLUR,?,CASE=YES,NO,NO,53,-47,0,62,N,N
?,FEM,?,?,?,PLUR,?,CASE=YES,NO,NO,53,-48,0,62,N,PR
FEM,MASC,?,?,PLUR,SING,CASE=YES,?,NO,NO,48,1,-4,17,PR,N
MASC,MASC,?,?,SING,SING,?,?,YES,YES,100,0,0,0,PR,PR
MASC,MASC,?,?,SING,SING,CASE=YES,?,NO,NO,42,-1,-2,-74,PR,N
FEM,MASC,PERS,?,SING,SING,?,?,NO,NO,67,-2,-1,-118,PR,N
MASC,MASC,FUNC,?,SING,SING,?,?,NO,NO,44,-3,-1,-140,PR,N
MASC,MASC,?,?,SING,SING,CASE=YES,?,NO,NO,53,-4,-1,-171,PR,N
?,MASC,PERS,?,PLUR,SING,?,?,NO,NO,42,-5,-1,-192,PR,N
MASC,MASC,?,?,SING,SING,?,?,NO,NO,64,-6,-1,-230,PR,N
MASC,MASC,FUNC,?,SING,SING,?,?,NO,NO,43,-7,-4,79,PR,N
MASC,MASC,?,?,SING,SING,?,?,NO,NO,62,-8,0,-258,PR,N
MASC,MASC,?,?,PLUR,SING,?,?,NO,NO,54,-9,0,-277,PR,N
FEM,MASC,?,?,PLUR,SING,?,?,NO,NO,50,-10,0,-301,PR,N
MASC,MASC,?,?,SING,SING,?,?,NO,NO,87,-11,0,-346,PR,PR
MASC,MASC,?,?,SING,SING,?,?,NO,NO,38,-12,-4,79,PR,N
FEM,MASC,?,?,SING,SING,?,?,NO,NO,56,-13,-4,79,PR,N
MASC,MASC,?,?,SING,SING,?,?,NO,YES,96,-14,-4,79,PR,PR
MASC,MASC,?,?,SING,SING,?,?,NO,NO,55,-15,-4,79,PR,N
FEM,MASC,?,?,SING,SING,?,?,NO,NO,44,-16,-4,79,PR,N
FEM,MASC,?,?,PLUR,SING,CASE=YES,?,NO,NO,60,-17,-4,79,PR,N
FEM,MASC,?,?,PLUR,SING,?,?,NO,NO,67,-18,-4,79,PR,N
?,MASC,?,?,?,SING,?,?,NO,NO,67,-19,-4,79,PR,PR
MASC,MASC,?,?,PLUR,SING,?,?,NO,NO,49,-20,-4,79,PR,N
MASC,MASC,?,?,PLUR,SING,?,?,NO,NO,57,-21,-4,79,PR,N
MASC,MASC,?,?,SING,SING,?,?,NO,NO,78,-22,-4,79,PR,PR
?,MASC,?,?,?,SING,?,?,NO,NO,64,-23,-4,79,PR,PR
?,MASC,?,?,?,SING,?,?,NO,NO,70,-24,-4,79,PR,PR
?,MASC,?,?,?,SING,?,?,NO,NO,22,-25,-4,79,PR,N
FEM,MASC,?,?,PLUR,SING,CASE=YES,?,NO,NO,33,-26,-4,79,PR,N
FEM,MASC,?,?,SING,SING,?,?,NO,NO,55,-27,-4,79,PR,N
MASC,MASC,?,?,SING,SING,?,?,NO,NO,48,-28,-4,79,PR,N
